filename,dvar_torah_id,paragraph_id,text,type,parsha,hebrew_title,hebrew_summary,seder
vayikru2.json,vayikru2_3784c654,vayikru2_3784c654_p1,"במסיבה להחזקת המוסדות הקדושים ""יטב לב"" בארץ ישראל",torah,אמור,הזהרת גדולים על הקטנים והירושה בארץ,"דרשת רש""י על אמירת ה' להזהיר כהנים על בני אהרן, והקושיות על פרשת קדושים בנוגע לעונש על עבודה זרה. כמו כן, דקדוקים בפרשת ערלה והבטחת ה' להוסיף תבואתו, מה שמלמד על חשיבות השמירה על מצוות בארץ ישראל.",ויקרא
vayikru2.json,vayikru2_3784c654,vayikru2_3784c654_p1,"ויאמר ה' אל משה אמור אל הכהנים בני אהרן ואמרת אלהם לנפש לא יטמא בעמיו. פירש""י ז""ל אמור ואמרת להזהיר גדולים על הקטנים. והנה מקורה של דרשה זו הוא ביבמות (דף קי""א ע""א), ושם פירש""י ז""ל שתי אמירות הללו למה אלא להזהיר גדולים על הקטנים. מבואר מזה דדעת רש""י ז""ל דמיתורא דואמרת אליהם ילפינן להזהיר גדולים על הקטנים. אכן הרא""ש ז""ל בפסקיו (בהלכות טומאה) כתב דממה ששינה הכתוב לשונו לכתוב הכהנים בני אהרן ולא כתיב בני אהרן הכהנים כדרך המקרא בכל מקום, ילפינן להזהיר את הכהנים הם הגדולים על בני אהרן הם הקטנים שלא יטמאו לנפש אדם. ולפי דברי הרא""ש נמצא דלא איצטריך יתורא דואמרת אליהם לדרשה זו, דבלא""ה שמעינן לה משינוי לשון הכתוב (וכ""מ בתורת כהנים ר""פ זו דדריש בני אהרן אלו הקטנים). אכן לפי זה תקשי קושיית הש""ס כפל אמור ואמרת למאי אתי, וצ""ב.",torah,אמור,,,ויקרא
vayikru2.json,vayikru2_3784c654,vayikru2_3784c654_p2,"ב) לעיל בפרשת קדושים כתיב ואל בני ישראל תאמר איש איש מבני ישראל ומן הגר הגר בישראל אשר יתן מזרעו למולך מות יומת עם הארץ ירגמוהו באבן. פירש""י עם הארץ, עם שעתידין לירש את הארץ ע""י מצוות הללו, עכ""ד רש""י ז""ל. והוא תמוה לכאורה שהרי פרשה זו עיקרה נאמר על אחר שכבר נתיישבו ישראל בארץ ונחלו אותה, וכמו שכתב הרמב""ן ז""ל כי הזכיר הכתוב עם הארץ לומר שכל אנשי הארץ כל ישראל חייבים להקדים ולסקלו כי לכולם יזיק, כי גורם לשכינה שתסתלק מישראל, ולכך תרגם אונקלוס עמא דבית ישראל כי הארץ ירמוז לכל ארץ ישראל וכו'. הרי מבואר דפרשה זו מיירי בזמן שבית ישראל יושבין על אדמתן אדמת הקדש, וא""כ מהו שדרשו עם ""שעתידין"" לירש את הארץ, הרי כבר ישבו שם ויירשוה.",torah,אמור,,,ויקרא
vayikru2.json,vayikru2_3784c654,vayikru2_3784c654_p3,"ג) בס""פ קדושים אחרי שהזהיר הכתוב על העריות כתיב ושמרתם את כל חקתי ואת כל משפטי ועשיתם אותם ולא תקיא אתכם הארץ אשר אני מביא אתכם שמה לשבת בה. יל""ד מה משמיענו הכתוב באמרו אשר אני מביא אתכם שמה ""לשבת בה"", הלא מילתא דפשיטא היא דמכיון שהקב""ה מביא את בני ישראל אל הארץ אשר יעד לתתה להם, הרי הוא מביא אותם כדי לשבת בה, היינו להשתקע בתוכה. דודתי שלא הביאם הקב""ה לארץ ישראל כדי לצאת מתוכה וללכת למקום אחר, ואיני יודע מה מלמדנו הכתוב במ""ש לשבת בה.",torah,אמור,,,ויקרא
vayikru2.json,vayikru2_3784c654,vayikru2_3784c654_p4,"ד) להלן בקרא שם, ואומר לכם אתם תירשו את אדמתם ואני אתננה לכם לרשת אותה וגו'. יל""ד דתיבת ""אתם"" יתירא לכאורה, דהוה סגי שיכתוב ואומר לכם תירשו את אדמתם, וממילא הוה ידעינן שעליהם מכוונים הדברים, שהרי אליהם הוא דובר דכתיב ואומר לכם. גם צ""ב דפתח בלשון ירושה באומרו תירשו את אדמתם ומסיים ואני אתננה לכם לשון מתנה, וממנ""פ או בתורת ירושה היא בידינו או בתורת מתנה, וכיצד יהיו בה שניהם ירושה ומתנה גם יחד.",torah,אמור,,,ויקרא
vayikru2.json,vayikru2_3784c654,vayikru2_3784c654_p5,"וכדי לבוא אל ביאור הענין נקדים מה שפירשנו לעיל פרשת קדושים מקראי קדש ומדרשי חז""ל בפרשת ערלה הטעונים ביאור (ואף שכבר נתבארה בחינה זו בפרשה הקודמת אעבור פרשתא דא ואתנייה משום דברים שנתחדשו בה).",torah,אמור,,,ויקרא
vayikru2.json,vayikru2_3784c654,vayikru2_3784c654_p6,"בפרשתא דערלה כתיב וכי תבואו אל הארץ ונטעתם כל עץ מאכל וערלתם ערלתו את פריו שלש שנים יהיה לכם ערלים לא יאכל ובשנה הרביעית יהיה כל פריו קדש הלולים לה' ובשנה החמישית תאכלו את פריו להוסיף לכם תבואתו אני ה'. הדקדוקים רבו במקראות אלו, חדא דקדק אאמו""ר זלה""ה בקדוי""ט לאיזה צורך אמה""כ ונטעתם כל עץ ""מאכל"", והלא סגי שיאמר ונטעתם כל עץ ואנן כבר ידעינן דבעץ עושה פרי קא משתעי, ולא באילנות סרק, דכתיב וערלתם ערלתו את פריו וגו'. עוד יל""ד מאי איצטריך קרא לאשמעינן ובשנה החמישית תאכלו את פריו, והלא ממילא הוה ידעינן זאת ממה שאסר הכתוב פירות ג' שנים וציוה להעלות פירות שנה הרביעית לירושלים מכלל לאו אתה שומע הן, דמכאן ואילך הפירות מותרים באכילה. ורש""י ז""ל כתב במה שאמר הכתוב ובשנה החמישית תאכלו וגו' להוסיף לכם תבואתו, היה ר""ע אומר לא דברה תורה אלא כנגד יצה""ר שלא יאמר אדם הרי ארבע שנים אני מצטער בו חנם לפיכך נאמר להוסיף לכם תבואתו. ולכאורה יש להקשות על דרשת זו, דלפי""ז היה ראוי שיעמיד הכתוב הבטחת להוסיף לכם תבואתו ברישא במקום שציוה הכתוב שלש שנים יהיה לכם ערלים וגו',  ולנוכח מצוה זו יש לחוש פן יתחמץ לבב אנוש בהעלותו על לבו כי הוא טורח בשדהו ארבע שנים על חנם, וכל עמלו ויגיעתו לריק, שאינו נהנה מפירותיו, שם ראוי להודיעו הבטחת להוסיף לכם תבואתו, שיתברכו לו פירות שדהו, בעת שכבר יהיו מותרים באכילה, ויתמלא חסרונו של כל השנים שעברו. ומדוע נטר קרא מלאשמעינן הבטחת להוסיף לכם תבואתו עד אחרי שאמר ובשנה החמישית תאכלו את פריו.",torah,אמור,,,ויקרא
vayikru2.json,vayikru2_5f2ed95c,vayikru2_5f2ed95c_p1,"במדרש רבה (פכ""א א') עה""פ וכי תבואו אל הארץ ונטעתם וגו' הה""ד עץ חיים היא למחזיקים בה וכו', ומאריך המדרש בשבח עמל התורה, ובמעלת המתנדבים בעם המחזיקים ותומכים בידי לומדי התורה. ומסיים המדרש אילו נאמר לעמלים בה לא היתה תקומה לשונאי ישראל אלא למחזיקים בה. וכבר נתקשו מפרשי המדרש דמאי שייכא דרשה זו דמיירי בשבח עסק התורה ותומכיה לפרשת ערלה ונטע רבעי. והיפ""ת כתב דדייק לה ממה שאמה""כ ""ונטעתם"" כל עץ מאכל דלישנא יתירא הוא לכאורה, והיה ראוי שיקצר הכתוב ויאמר כי תבואו אל הארץ וערלתם ערלת פרי כל עץ מאכל, ולאיזה צורך הזכיר ונטעתם לפיכך דרשוהו על התורה שהיא נטעי נעמנים, עכת""ד. אך הנה כללא אית לן דהפשט והדרש צריך שיהיו מקושרים בכל מקום, והכא אנחנו לא נדע מה שייכא דרשה זו דמיירי במעלת לימוד התורה והמחזיקים בהם אל פשוטו של מקרא דמיירי בערלה ורבעי. והנה אאמו""ר זלה""ה ביאר שייכות דרשה זו לפשטות הפסוק, כי אף במחזיקי התורה התומכים בידי עמלי תורה יש לחוש פן יעלה המחזיק על לבו לומר אה אחזיק את חבירי אפסיד ומנחלתי יגרע, למה לי זאת, הלא אנכי מתיגע בקור וחום שלג ומשר לא יעצרוני מלעסוק בפרנסתי, ולאשר לא עמל אתן חלקי, ליושב אוהלים בשלוה ובהשקט, ומי ימלא חסרוני אשר יחסר לי. וכדי להוציא ממחשבת פיגול זו סמך המדרש דבריו לפרשת ונטעתם כל עץ מאכל, שממנה נשמע דאף אם האדם יראה לעינים שע""י מצות ערלה יהיה לו חסרון, וכל עמלו יהיה לריק, אפ""ה יבא על שכרו שהקב""ה ימלא חסרונו בכפליים. וכמו כן אל ירע לב האדם בתתו מהונו להחזיק ברעהו היושב על התורה, כי לא יחסר לו העושר, ועוד יוסיף לו הקב""ה, ואדרבה קיום המצוה יהיה סיבה להניח ברכה אל ביתו, עכתדה""ק. אך אכתי צריך להבין דלפי זה מדוע הביא המדרש להכא ענין מחזיקי תורה דוקא, והלא כמה מצוות יש הכרוכות בהוצאות מרובות ויש לחוש בהן פן ירע לבב האדם על הפסד ממונו. גם בתנחומא דרש פרשתא דערלה על חינוך תשב""ר לת""ת. דהכי איתא בתנחומא מדבר בתינוק שלש שנים יהיה לכם ערלים שאינו יכול לא להשיח ולא לדבר ובשנה הרביעית יהיה כל פריו קדש שאביו מקדשו לתורה וכו' יעיי""ש באורך. ובמתניתין דאבות (פ""ה מכ""א) תנן בן חמש שנים למקרא בן עשר למשנה וכו', וכתב הרע""ב ז""ל דילפינן לה מערלה דכתיב שלש שנים יהיה לכה ערלים ובשנה הרביעית יהיה כל פריו קדש הלולים, שאביו מלמדו צורת אותיות וכו', ובשנה החמישית וגו' להוסיף לכם תבואתו מכאן ואילך ספו ליה כתורא, עכ""ל הברטנורא. ובספר סדר היום בסופו כתב על משנה דאבות הנ""ל, דיש מי שכתב דילפינן לה מערלה, ואין בזה ממש דמה שייכו זה לזה, דטעם שלש שני ערלה מפני שזהו חלק הניתן לס""מ, ואין לדמות זאת לתינוק שהטעם מפני שאינו יכול ללמוד קודם, ואם היו יכולים היו למדים עמו מיד ביום הראשון ללידתו. ודבריו תמוהין מאד שהרי פירוש זה שדחה הוא ז""ל מכל וכל מבואר להדיא בתנחומא עה""פ שלש שנים יהיה לכם ערלים, וכמ""ש הר""ע מברטנורא ז""ל. אך לקושטא דמילתא אכתי הדבר טעון הסבר, מה שייך ענין חינוך תשב""ר לתלמוד תורה לפרשת ערלה ורבעי.",torah,אמור,מעלת מחזיקי תורה וחינוך תינוקות,"המדרש מדגיש את ערך עמל התורה ומעלת המחזיקים בה, המבטיחים שפע וברכה. חינוך תינוקות לתורה הוא תנאי להשראת השכינה בארץ ישראל, והאבות זוכים בזכות חינוך זה. יש להזהיר גדולים על הקטנים, כי השפעת החינוך נוגעת גם להורים.",ויקרא
vayikru2.json,vayikru2_5f2ed95c,vayikru2_5f2ed95c_p2,"וכבר היו אמרנו לבאר הענין עפ""י הקדמה שנתבארה בדברינו כמ""פ (עיין להלן בפרשת שלח) במה שצוה משרע""ה את האנשים אשר שלח לתור את הארץ וראיתם את הארץ מה היא וגו' היש בה עץ אם אין, ופירש""י ז""ל אם יש בהם אדם כשר שיגין עליהם בזכותו. וזהו דרך דרש אך פשטות המקרא מוכח שציוה אותם לראות אם יש בה אילנות אם לאו, וכן תרגם יונתן האית בה אילנין דמיכל, הרי שהוא מפרשו כפשוטו על אילני מאכל. והוא משולל הבנה האם היה משרע""ה כמסתפק ועולה אם נמצאים בארץ ישראל אילנות מאכל אם לא, והלא השי""ת הבטיח לישראל שהוא מכניסם לארץ טובה ורחבה, אשר לא יחסר כל בה, ומה מקום עוד לשאול היש בה עץ אם אין.",torah,אמור,,,ויקרא
vayikru2.json,vayikru2_5f2ed95c,vayikru2_5f2ed95c_p3,"ואמרנו לבאר עפ""י דברי הב""ח ז""ל (באו""ח סימן ר""ח) על מה שכתב הטור לדחות דעת הי""א שצריך לאמר בברכת מעין שלש לאכול מפריה ולשבוע מטובה, וז""ל הטור, ואין לאמרה שאין לחמוד הארץ בעבור פריה וטובה אלא ולקיים מצוות התלויות בה. וכתב הב""ח ליישב דעת היש אומרים, ותו""ד כי ארץ ישראל מקבלת השפעתה מקדושת השכינה השוכנת בקרב הארץ, ואם מטמאין את הארץ ח""ו מסתלקת השכינה מקרב הארץ, והפירות יונקים מטומאת הארץ, ולפיכך אנו מכניסין בברכת מעין שלש ונאכל מפריה ונשבע מטובה, כי באכילת פירותיה אנו ניזונין מקדושת השכינה ומטהרתה, עכתדה""ק. ונרחיב קצת את הביאור בדבריו ז""ל, דהנה ידוע כי השי""ת מינה על כל אומה ולשון שר ומושל בשמי מרום, וע""י אותו שר נמשכת ההשפעה מאת הקב""ה לאותה אומה, מלבד ארץ ישראל שהיא נחלת ה' המיוחדת לשמו, ולא נתן עליה מן המלאכים קצין שוער ומושל, כי אם הקב""ה לבדו דורש אותה תמיד, ומאתו יתברך באה אליה ההשפעה, בלא שום ממונה, וכמ""ש הרמב""ן ז""ל בס""פ אחרי. אמנם כל זה רק בעת אשר בני ישראל משמרין תורה ומצוות בא""י, והשכינה שורה בקרב הארץ, אבל ח""ו אם בית ישראל יושבים על אדמתם ומטמאין אותה בתועבותיהם, מסתלקת השכינה הקדושה מן הארץ, והטומאה קונה את מקומה, כמ""ש הב""ח ז""ל, ואז הס""מ בעצמו נעשה שר ומושל על ארץ ישראל, כי אליה הוא נושא את נפשו תמיד להשתלט על ארץ הקדש, ולהכניסה לרשותו. וכמ""ש הרמ""ע ז""ל עה""פ (זכריה ג') יגער ה' בך השטן ויגער ה' בך הבוחר בירושלים, כי השטן בוחר להתגבר נגד הפכו בעיר הצדק קריה נאמנה (ועיין בדברינו לעיל פרשת לך ע' רנ""ה בענין זה).",torah,אמור,,,ויקרא
